Cases
8
22
14
1
22
3
2
3
1
3
5
2
1
1
4
1
4
1
1
2
1
1
2
1
1
1
1
1
1
3
1
2
2
1
3
1
1
1
1
1
13
6
2
36
4
1
1
2
1
1
2
10
2
1
3
4
1
1
1
1
1
15
231
204
1
13
59
1
16
1
1
1
3
1
3
1
1
7
3
2
1
1
2
4
1
1
1
1
3
1
7
2
1
1
1
1
1
2
4
4
1
3
1
1
1
7
1
1
1
1
2
1
1
1
1
1
1
1
1
8
9
3
1
19
34
17
8
2
1
1
4
24
1
3
1
1
1
8
3
2
1
1
1
1
1
3
1
1
3
12
1
1
1
1
1
1
6
2
25
1
5
226
2153
7
1
1
11
4
1
1
4
4
1
2
1
9
13
6
1
1
1
1
1
2
6
2
1
1
1
3
1
2
4
1
2
1
7
1
23
1
2
1
3
1
6
1
2
4
1
2
1
1
1
1
1
3
2
3
2
2
1
1
1
1
1
1
2
1
1
37
1
2
1
1
3
5
1
2
2
2
4
21
1
10
2
35
2
1
1
1
1
1
1
1
1
2
1
1
1
1
1
5
1
1
2
1
2
2
1
2
1
1
1
6
3
3
2
18
2
1
3
1
1
24
1
2
4
1
1
1
1
1
2
2
1
1
9
40
5
3
4
15
2
1
1
1
1
2
1
1
1
3
1
1
1
1
1
7
5
2
2
1
1
1
1
1
1
2
1
1
2
1
7
2
2
4
1
2
1
1
1
1
1
1
4
4
3
7
1
13
41
17
56
1
2
1
11
1
1
1
1
1
1
3
3
1
3
1
2
3
4
1
1
1
1
1
3
2
1
1
1
2
1
2
1
2
3
4
25
17
1
16
1
1
1
1
1
1
1
1
1
4
1
6
1
1
1
1
1
26
4
1
3
29
1
6
1
2
1
8
4
2
25
1
6
2
